1532146084.314002, 15.8, 13.8, -10, -14.45
1532146084.364046, 15, 12.8, -10, -14.55
1532146084.414021, 14.2, 13.2, -10, -14.65
1532146084.464060, 13.5, 15.4, -10, -14.43
1532146084.514045, 12.9, 15.4, -10, -14.34
1532146084.564038, 12.3, 16.2, -10, -14.3
1532146084.614061, 11.3, 15.4, -10, -14.41
1532146084.664055, 10.9, 15.7, -10, -14.33
1532146084.714029, 9.9, 17.5, -10, -14.22
1532146084.764094, 9.3, 20.5, -10, -13.96
1532146084.914090, 7.7, 28.5, -10, -13.14
1532146084.964070, 6.9, 28.1, -10, -13.27
